exp_strain,exp_stress
0.008037663,166.8535364
0.008091961,167.9105492
0.008147081,168.9894395
0.008201795,170.0535259
0.00825729,171.1173615
0.008313199,172.2100506
0.008369111,173.2878651
0.008425394,174.372869
0.008482091,175.4576776
0.00853916,176.542297
0.008595863,177.626857
0.008653349,178.7037801
0.008710427,179.7811128
0.00876792,180.8577863
0.008825046,181.9058345
0.008882545,182.9610661
0.008940006,184.0083506
0.008997511,185.0633375
0.00905502,186.1324824
0.009112942,187.2083358
0.009170826,188.284071
0.009228755,189.3458552
0.009286646,190.3923248
0.009344951,191.4464223
0.009403259,192.507303
0.009462351,193.5610007
0.009521446,194.606745
0.009580175,195.6602637
0.009639276,196.7204906
0.009698382,197.7520481
0.00975708,198.7761986
0.009815823,199.8002193
0.009874528,200.816762
0.009933647,201.8478292
0.0099924,202.8783879
0.010050746,203.9093681
0.010109096,204.9328637
0.010167818,205.9635248
0.010226955,206.9792545
0.010286875,207.9947003
0.01034643,208.9889373
0.010405987,210.0115766
0.010465919,211.0197544
0.010525443,212.0205371
0.010585381,212.9994938
0.010645323,213.9925893
0.010705309,215.0002723
0.010765628,215.9718917
0.0108248,216.9362844
0.010883976,217.9148159
0.010943935,218.9004157
0.01100394,219.8858868
0.011063907,220.8781431
0.011124247,221.8633011
0.011184633,222.8483295
0.01124461,223.8259749
0.011305003,224.7965146
0.011364988,225.7812757
0.011426169,226.7725403
0.011486943,227.7426366
0.01154772,228.7268582
0.011608501,229.7109585
0.011669285,230.673343
0.011730896,231.6280674
0.01179247,232.5900324
0.011854047,233.5661176
0.01191604,234.5424438
0.011978036,235.5181878
0.012039255,236.4655181
0.012101218,237.4336807
0.012163226,238.3948232
0.012225238,239.3558447
0.012287624,240.3240029
0.012349643,241.2774352
0.012411255,242.2313062
0.012474064,243.1769631
0.012536095,244.1231492
0.012599324,245.0689235
0.012662515,246.0214715
0.012725711,246.9670124
0.012789322,247.8976437
0.012852155,248.7998965
0.012915404,249.7234988
0.012978203,250.6544375
0.013041831,251.5845912
0.013104679,252.5152809
0.013167944,253.4237264
0.013231172,254.3398639
0.013294815,255.2479803
0.013358462,256.1490988
0.013421702,257.0575449
0.013485769,257.9798788
0.013549429,258.8875241
0.013613093,259.8028473
0.013677131,260.703282
0.013741215,261.5783707
0.013805262,262.4749042
0.013868571,263.3536367
0.01393106,264.2361411
0.013993964,265.125758
0.014057244,265.9968278
0.014120157,266.8573425
0.014183486,267.7176365
0.014246406,268.5747222
0.01430929,269.4312508
0.014372631,270.3090831
0.014436347,271.1761631
0.014500067,272.0573333
0.014564575,272.923515
0.014629087,273.7937055
0.014693603,274.666988
0.014758123,275.5369492
0.014822648,276.410002
0.014887548,277.2828368
0.014952081,278.1414628
0.015016618,278.9931069
0.015080375,279.8375318
0.015144549,280.6885989
0.015209099,281.5467753
0.015273652,282.3943089
0.015338623,283.2521428
0.015403556,284.0956844
0.015468907,284.9600513
0.015534675,285.8141157
0.015600818,286.6890109
0.015667379,287.5673301
0.015735101,288.4200287
0.015802827,289.2689487
0.015870187,290.1361601
0.015937922,290.9994839
0.016005703,291.8658783
0.016074233,292.7392539
0.01614318,293.5982062
0.01621176,294.4644647
0.016280676,295.3085515
0.016349265,296.142099
0.016417818,297.000692
0.016486417,297.8271447
0.016554566,298.6426437
0.016623175,299.483038
0.016691747,300.3018403
0.016759579,301.1312653
